"workerid","rt","tested_on","response","check_index","property","correct","condition"
0,68081,0,0,0,"can see at night",1,"memory_check"
0,68081,0,0,1,"eat plants",1,"memory_check"
0,68081,1,1,2,"capture other animals&quotechar territory",1,"memory_check"
0,68081,1,1,3,"fish in the Hudson River",1,"memory_check"
0,68081,0,0,4,"have gold spots",1,"memory_check"
0,68081,1,1,5,"attack hikers",1,"memory_check"
0,68081,1,1,6,"get cancer",1,"memory_check"
0,68081,1,1,7,"sleep during the day",1,"memory_check"
0,68081,0,0,8,"have long legs",1,"memory_check"
0,68081,0,0,9,"have infected scales",1,"memory_check"
1,16792,1,1,0,"know how to ride bicycles",1,"memory_check"
1,16792,0,0,1,"have long legs",1,"memory_check"
1,16792,0,0,2,"eat plants",1,"memory_check"
1,16792,0,0,3,"can see at night",1,"memory_check"
1,16792,1,1,4,"ride the subway",1,"memory_check"
1,16792,0,0,5,"have infected scales",1,"memory_check"
1,16792,1,1,6,"perform in the circus",1,"memory_check"
1,16792,1,1,7,"chase their tails",1,"memory_check"
1,16792,0,0,8,"have gold spots",1,"memory_check"
1,16792,1,1,9,"lay eggs in other birds&quotechar nests",1,"memory_check"
2,16936,0,0,0,"can see at night",1,"memory_check"
2,16936,0,0,1,"have infected scales",1,"memory_check"
2,16936,1,1,2,"live to be twenty years old",1,"memory_check"
2,16936,1,1,3,"eat candy wrappers",1,"memory_check"
2,16936,0,1,4,"eat plants",0,"memory_check"
2,16936,0,0,5,"have gold spots",1,"memory_check"
2,16936,1,1,6,"have seizures",1,"memory_check"
2,16936,0,0,7,"have long legs",1,"memory_check"
2,16936,1,1,8,"play with bottlecaps",1,"memory_check"
2,16936,1,1,9,"hunt other animals",1,"memory_check"
3,11433,0,0,0,"have long legs",1,"memory_check"
3,11433,1,1,1,"are afraid of loud noises",1,"memory_check"
3,11433,0,0,2,"have infected scales",1,"memory_check"
3,11433,0,0,3,"eat plants",1,"memory_check"
3,11433,0,0,4,"can see at night",1,"memory_check"
3,11433,0,0,5,"have gold spots",1,"memory_check"
3,11433,1,1,6,"eat cannabis",1,"memory_check"
3,11433,1,1,7,"hunt other animals",1,"memory_check"
3,11433,1,1,8,"have very long wings",1,"memory_check"
3,11433,1,1,9,"use tools",1,"memory_check"
4,15066,0,0,0,"can see at night",1,"memory_check"
4,15066,1,1,1,"drink alcohol left behind by tourists",1,"memory_check"
4,15066,0,0,2,"have infected scales",1,"memory_check"
4,15066,0,0,3,"have gold spots",1,"memory_check"
4,15066,1,1,4,"are afraid of dogs",1,"memory_check"
4,15066,0,0,5,"have long legs",1,"memory_check"
4,15066,1,1,6,"transmit rabies",1,"memory_check"
4,15066,1,1,7,"live to be five hundred years old",1,"memory_check"
4,15066,1,1,8,"have brown fur",1,"memory_check"
4,15066,0,0,9,"eat plants",1,"memory_check"
5,10010,1,1,0,"drink soda",1,"memory_check"
5,10010,1,1,1,"perform in the circus",1,"memory_check"
5,10010,1,1,2,"lose their teeth",1,"memory_check"
5,10010,1,1,3,"lay eggs without needing fertilization",1,"memory_check"
5,10010,0,0,4,"have long legs",1,"memory_check"
5,10010,0,0,5,"eat plants",1,"memory_check"
5,10010,0,0,6,"have gold spots",1,"memory_check"
5,10010,0,0,7,"can see at night",1,"memory_check"
5,10010,1,1,8,"know how to open doors",1,"memory_check"
5,10010,0,0,9,"have infected scales",1,"memory_check"
6,13270,0,0,0,"have long legs",1,"memory_check"
6,13270,0,0,1,"have gold spots",1,"memory_check"
6,13270,1,1,2,"carry out premeditated murder",1,"memory_check"
6,13270,1,1,3,"transmit rabies",1,"memory_check"
6,13270,0,1,4,"can see at night",0,"memory_check"
6,13270,0,0,5,"have infected scales",1,"memory_check"
6,13270,1,1,6,"sleep during the day",1,"memory_check"
6,13270,1,1,7,"are afraid of loud noises",1,"memory_check"
6,13270,1,1,8,"drink alcohol left behind by tourists",1,"memory_check"
6,13270,0,0,9,"eat plants",1,"memory_check"
7,7910,1,1,0,"live in zoos",1,"memory_check"
7,7910,0,0,1,"have gold spots",1,"memory_check"
7,7910,0,0,2,"have infected scales",1,"memory_check"
7,7910,1,1,3,"have spots",1,"memory_check"
7,7910,0,0,4,"can see at night",1,"memory_check"
7,7910,1,1,5,"mourn their dead",1,"memory_check"
